Feature1,Feature2,NumFeature3,CatFeature1,CatFeature2,Class
0.4967141530112327,3.6430105390255565,11.741431238334092,cat,red,0
-0.13826430117118466,4.389001073892694,11.416617962678332,cat,green,0
0.6476885381006925,3.8052378779097142,5.317400770972544,mouse,blue,0
1.5230298564080254,5.220836093892239,12.897921108818691,mouse,green,1
-0.23415337472333597,7.3943570629238256,2.5495866221169097,mouse,red,1
-0.23413695694918055,3.457915685717591,6.729078371198357,dog,green,0
1.5792128155073915,7.001640995536828,0.004560935510960817,mouse,blue,1
0.7674347291529088,3.436655855306225,17.793132584814074,mouse,blue,0
-0.4694743859349521,3.3047455750062316,8.842252530273523,dog,red,0
0.5425600435859647,6.637189236686426,20.834420174081558,cat,green,1
-0.46341769281246226,6.843872756015234,14.014749632597475,dog,red,1
-0.46572975357025687,6.702819873525309,12.240491066755123,mouse,red,1
0.24196227156603412,2.3684051835637177,7.068861528595003,mouse,red,0
-1.913280244657798,4.0680980438558985,4.7682498215629,cat,red,0
-1.7249178325130328,6.645977184006643,12.614857869484727,dog,red,0
-0.5622875292409727,5.083083681127789,9.642429953635089,,red,0
-1.0128311203344238,2.8526143076050716,3.3036484225734952,cat,green,0
0.3142473325952739,5.916635878250883,,mouse,red,1
-0.9080240755212109,3.570385482017059,5.206481354282081,cat,red,0
-1.4123037013352915,8.589049696784425,19.10483612633115,,green,1
1.465648768921554,8.089682924836517,21.06638959005652,mouse,blue,1
-0.22577630048653566,6.208194852711134,11.024945736544549,cat,green,1
0.06752820468792384,7.722013409539548,10.744713981206441,cat,green,1
-1.4247481862134568,5.129582700246762,8.318398140852395,mouse,blue,0
-0.5443827245251827,6.530874988750032,5.327573258452489,cat,green,1
0.11092258970986608,7.95544059060415,16.87589528803622,mouse,blue,1
-1.1509935774223028,5.490997363588625,19.36788196948568,mouse,red,0
0.37569801834567196,4.489625656971433,5.532904570803573,dog,green,0
-0.600638689918805,1.5907560836457684,9.585808107876993,mouse,blue,0
-0.2916937497932768,4.833732948557012,7.75066849644916,mouse,red,0
-0.6017066122293969,6.6468463691246225,7.8988046256751145,cat,blue,1
1.8522781845089378,6.891266855135259,15.92954127714931,dog,blue,1
-0.013497224737933921,6.0087301314368196,3.440192273169391,cat,blue,1
-1.0577109289559004,3.9174018100755204,12.332348454681531,cat,green,0
0.822544912103189,1.046356862104819,13.641190536529328,mouse,red,0
-1.2208436499710222,4.00956980399053,9.289244131990904,mouse,blue,0
0.2088635950047554,4.391310257892097,14.465339134933863,mouse,red,0
-1.9596701238797756,4.374142065619972,10.738259202687251,cat,blue,0
-1.3281860488984305,6.237112713955849,16.08564960578056,cat,blue,0
0.19686123586912352,8.97135282202968,2.3889734753707295,mouse,green,1
0.7384665799954104,5.247058403682186,8.256123694965654,,red,1
0.1713682811899705,4.5665364216870765,9.640934285744827,dog,blue,0
-0.11564828238824053,4.481556373991815,-3.361036922356746,dog,blue,0
-0.3011036955892888,5.2487695338154285,4.570236332107326,dog,red,0
-1.4785219903674274,3.3434124793032023,5.932003728206069,cat,blue,0
-0.7198442083947086,5.24039711749211,14.74102997411675,dog,green,0
-0.4606387709597875,5.9016246726635995,6.465783268426998,mouse,green,1
1.0571222262189157,5.419372127148976,5.9096050634701145,mouse,green,1
0.3436182895684614,5.915083868009562,,mouse,blue,1
-1.763040155362734,5.867495218697071,1.9104467710497275,,green,0
0.324083969394795,1.4562066355071126,-0.35622033721786117,dog,blue,0
-0.38508228041631654,6.273740316790806,8.192038499653268,cat,green,1
-0.6769220003059587,3.6579703086750928,2.761466159608224,mouse,red,0
0.6116762888408679,2.808321673992084,,cat,green,0
1.030999522495951,2.7910963442900076,12.86716895843991,dog,red,0
0.9312801191161986,5.867083220945059,14.379869189562896,cat,green,1
-0.8392175232226385,4.554850145550294,13.944321079260625,mouse,blue,0
-0.3092123758512146,1.6360624320291786,15.543883301536164,cat,red,0
0.33126343140356396,5.956075630384567,16.20567160007401,cat,red,1
0.9755451271223592,2.1207837384023454,-0.6429510441346551,dog,blue,0
-0.47917423784528995,5.279642717036422,12.252059799647332,dog,red,0
-0.18565897666381712,5.476997851346108,7.351959002152206,dog,red,1
-1.1063349740060282,6.77115416339009,6.26287877004782,dog,blue,1
-1.1962066240806708,8.563369572933702,12.802073161043527,mouse,red,1
0.812525822394198,2.2706473481989167,1.3485226005212407,mouse,red,0
1.356240028570823,4.895052287873901,1.2444569706383994,cat,blue,1
-0.07201012158033385,4.447329409911565,13.167863720408587,mouse,red,0
1.0035328978920242,5.867499371921925,12.438930087554489,cat,blue,1
0.36163602504763415,5.431337541867237,10.683663279357551,dog,red,1
